Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Algo allowPastEndTime,Algo catchUp,Algo endTime,Algo strategy
BUY,53,SRPT,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,131,SE,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,26,GME,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,303,PBR,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,343,YPF,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,345,SNAP,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,86,CELH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,120,ROKU,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,188,JD,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,521,AGNC,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,322,TOST,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,971,KGC,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,9,URI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,74,SQ,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,4,SMCI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,40,DKS,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,21,TSLA,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,258,CLF,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,14,PATH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,206,WBA,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,1,SEDG,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,1,RH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,10,NCLH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,15,AAP,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,4,FSLR,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,41,HES,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,31,NIO,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,213,S,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,2,ENPH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,1158,PLUG,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,93,GTLB,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,442,WBD,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,124,CZR,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,34,PDD,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,15,ISRG,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,151,DKNG,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,603,CCL,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,157,SIRI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,314,PLTR,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,8,RIVN,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
