Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Algo allowPastEndTime,Algo catchUp,Algo endTime,Algo strategy
SELL,71,BILL,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,16,SOFI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,146,LI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,44,HOOD,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,163,RRC,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,408,KEY,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,41,ALB,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,369,AAL,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,121,X,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,1406,LCID,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,138,BP,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,184,BROS,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
SELL,276,U,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
BUY,60,PARA,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20240105 12:18:00 US/Eastern,Twap
