Quantity,Symbol
221,PATH
308,GME
604,SOFI
146,LI
131,SE
33,COIN
74,SQ
9,URI
34,PDD
15,ISRG
17,SMCI
86,CELH
418,HOOD
314,PLTR
53,SRPT
613,NIO
303,PBR
56,ROKU
163,RRC
289,CCL
-281,NCLH
-259,RIVN
-442,WBD
-369,AAL
-338,PARA
-21,TSLA
-133,U
-521,AGNC
-138,BP
-151,DKNG
-61,SEDG
-81,AAP
-258,CLF
-30,FSLR
-188,JD
-1158,PLUG
-19,RH
-915,SIRI
-206,WBA
-42,ENPH
